/

D D NOMBRE                         NOMBRE                         T CODIGO  DESCRIPCION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
C 1 Consulta Externa               CONSULTORIO UNO                P C0007   LEGRADO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
C 5 Consulta Externa               CONSULTORIO CINCO              P C0015   BRONCOSCOPIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C 5 Consulta Externa               CONSULTORIO CINCO              P C0016   ESPIROMETRIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C 5 Consulta Externa               CONSULTORIO CINCO              P C0017   ESPIROMETRIA CON BRONCODILATOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
C 5 Consulta Externa               CONSULTORIO CINCO              P C0018   LARINGOSCOPIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
C 6 Consulta Externa               CONSULTORIO SEIS               P C0020   CISTOSCOPIAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C 6 Consulta Externa               CONSULTORIO SEIS               P C0023   DILATACION URETERAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
C Y Consulta Externa               QUIMIOTERAPIA AMBULATORIA      P QA001   DERECHO QUIMIO AMBULATORIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
F R MEDICINA FISICA                REHABILITACION                 P C0030   ELECTROCARDIOGRAMA EKG                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
H C HOSPITALIZACION                CLINICA ONCOLOGICA             S H0002   ACOMPAÑANTE CLINICA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
H C HOSPITALIZACION                CLINICA ONCOLOGICA             S H0007   AISLAMIENTO CLINICA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
H C HOSPITALIZACION                CLINICA ONCOLOGICA             S H0010   PIEZA BIPERSONAL CLINICA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
H C HOSPITALIZACION                CLINICA ONCOLOGICA             S H0011   PIEZA CUATRO CAMAS CLINICA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
H C HOSPITALIZACION                CLINICA ONCOLOGICA             S H0052   RECARGO HABITACIÓN INDIVIDUAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
H G HOSPITALIZACION                CIRUGIA ONCOLOGICA             S H0013   ACOMPAÑANTE CIRUGIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
H G HOSPITALIZACION                CIRUGIA ONCOLOGICA             S H0018   GASOMETRIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
H G HOSPITALIZACION                CIRUGIA ONCOLOGICA             S H0015   PIEZA BIPERSONAL CIRUGIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
H G HOSPITALIZACION                CIRUGIA ONCOLOGICA             S H0016   PIEZA CUATRO CAMAS CIRUGIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
H I HOSPITALIZACION                CUIDADOS INTENSIVOS            S H0003   DIA DE INTERNACION EN UCI                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
H M HOSPITALIZACION                EMERGENCIA                     S E0001   CONSULTA EMERGENCIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
H M HOSPITALIZACION                EMERGENCIA                     S E0002   CURACION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
H P HOSPITALIZACION                PEDIATRIA ONCOLÓGICA           S H0021   PIEZA BIPERSONAL PEDIATRIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
H P HOSPITALIZACION                PEDIATRIA ONCOLÓGICA           S H0022   PIEZA CUATRO CAMAS PEDIATRIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
L 1 Laboratorio                    CRUZ ROJA                      S J0002   CONCENTRADO GLOBULOS ROJOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
L 1 Laboratorio                    CRUZ ROJA                      S J0004   CONCENTRADO PLAQUETAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
L 1 Laboratorio                    CRUZ ROJA                      S J0005   CRIOPRECIPITADOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
L 1 Laboratorio                    CRUZ ROJA                      S J0007   PLASMA FRESCO CONGELADO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
L 1 Laboratorio                    CRUZ ROJA                      S J0009   PLASMA REFRIGERADO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
L 1 Laboratorio                    CRUZ ROJA                      S J0011   RECARGO CONVENIO CRUZ ROJA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
L 3 Laboratorio                    CONCLINA                       P W0008   DIF ECOCARDIOG CONCLINA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
L 3 Laboratorio                    CONCLINA                       P W0004   ECOCARDIO. DOPPLER COLOR PULSA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
L 3 Laboratorio                    CONCLINA                       S W0011   EXAMENES ESPECIALES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
L 3 Laboratorio                    CONCLINA                       P W0024   GAMAGRAFIA OSEA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
L 3 Laboratorio                    CONCLINA                       P W0032   GAMAGRAFIATIROIDEA 131                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
