/

L SE NOMBRE                                                                           SU NOMBRE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
B 02 IMPLEMENTOS DE LIMPIEZA Y ASEO                                                   11 CEPILLO DE LIMPIEZA EQUIPOS MEDICOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
B 02 IMPLEMENTOS DE LIMPIEZA Y ASEO                                                   12 QUIMICOS PARA  LIMPIEZA Y MANTENIMIENTO DE CALDEROS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
B 02 IMPLEMENTOS DE LIMPIEZA Y ASEO                                                   13 COBERTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
B 02 IMPLEMENTOS DE LIMPIEZA Y ASEO                                                   14 IMPLEMENTOS DE PROTECCION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
B 02 IMPLEMENTOS DE LIMPIEZA Y ASEO                                                   15 MATERIAL PARA LIMPIEZA COMPUTADORES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
B 03 UTILES DE OFICINA                                                                01 MARCADORES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
B 03 UTILES DE OFICINA                                                                02 CINTAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
B 03 UTILES DE OFICINA                                                                03 PAPEL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
B 03 UTILES DE OFICINA                                                                04 SOBRES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
B 03 UTILES DE OFICINA                                                                05 CUADERNOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
B 03 UTILES DE OFICINA                                                                06 BORRADORES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
B 03 UTILES DE OFICINA                                                                07 CASETTES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
B 03 UTILES DE OFICINA                                                                08 CLIPS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
B 03 UTILES DE OFICINA                                                                09 ARCHIVADOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
B 03 UTILES DE OFICINA                                                                10 TINTAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
B 03 UTILES DE OFICINA                                                                11 PEDIDOS DE LABORATORIOS RECETARIOS Y OTROS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
B 03 UTILES DE OFICINA                                                                12 VARIOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
B 03 UTILES DE OFICINA                                                                13 PAPELERIA PARA CONST. EXTERNA Y HOSPITALIZACION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
B 03 UTILES DE OFICINA                                                                14 LAPIZ Y ESFEROGRAFICOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
B 03 UTILES DE OFICINA                                                                15 PAPELERIA Y OTROS PARA ADMINISTRACION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
B 03 UTILES DE OFICINA                                                                16 MATERIAL PARA ANILLADO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
B 03 UTILES DE OFICINA                                                                17 IMPLEMENTOS PARA IMPRESORAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
B 03 UTILES DE OFICINA                                                                18 SUMINISTROS PARA COMPUTADORAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
B 03 UTILES DE OFICINA                                                                19 GRAPAS - GRAPADORAS Y PERFORADORAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
B 04 VESTUARIOS Y UNIFORMES                                                           01 CAMISAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
B 04 VESTUARIOS Y UNIFORMES                                                           02 MADIL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
B 04 VESTUARIOS Y UNIFORMES                                                           03 VARIOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
B 04 VESTUARIOS Y UNIFORMES                                                           04 PANTALON                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
B 04 VESTUARIOS Y UNIFORMES                                                           05 TERNOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
B 04 VESTUARIOS Y UNIFORMES                                                           06 VESTIDOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
B 04 VESTUARIOS Y UNIFORMES                                                           07 CAMISETAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
B 04 VESTUARIOS Y UNIFORMES                                                           08 BOTAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
B 05 PRENDAS DE PROTECCION                                                            01 ALMOHADAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
B 05 PRENDAS DE PROTECCION                                                            02 BATAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
B 05 PRENDAS DE PROTECCION                                                            03 CAMPOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
B 05 PRENDAS DE PROTECCION                                                            04 BOTAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
B 05 PRENDAS DE PROTECCION                                                            05 ENVOLTURAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
B 05 PRENDAS DE PROTECCION                                                            06 FUNDAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
B 05 PRENDAS DE PROTECCION                                                            07 PONCHOS Y PIERNERAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
B 05 PRENDAS DE PROTECCION                                                            08 SABANAS Y MEDIA SABANAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
B 05 PRENDAS DE PROTECCION                                                            09 TERNOS AZULES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
B 05 PRENDAS DE PROTECCION                                                            10 TOALLAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
B 05 PRENDAS DE PROTECCION                                                            11 VARIOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
B 05 PRENDAS DE PROTECCION                                                            12 FRASADAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
B 05 PRENDAS DE PROTECCION                                                            13 COLCHONES Y FORROS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
